date,open,high,low,close,volume,ret1,fwd_ret1,rsi14,macd,macd_hist,bb_pctb,dev25,stoch_k,stoch_d,adx,roc10,ma_gap_5_25,ma_gap_25_75,us_ret,jpy_ret,fut_premium,nikkei_vi,nikkei_vi_chg,vix,vix_chg,dow,key
2025-10-27,49905.80078,50549.60156,49838.98047,50512.32031,122100000,0.02460,-0.00580,70.50182,1326.88599,106.15806,0.93107,7.06700,98.97544,80.54523,36.09602,5.03968,4.74213,7.96128,0.79024,0.42645,-0.16297,,,16.37000,-5.37571,0,up|hot|pos
2025-10-28,50357.14844,50485.80078,50107.76953,50219.17969,119500000,-0.00580,0.02167,68.01636,1355.14217,107.53139,0.85258,5.98080,89.18526,89.72082,36.54100,7.19755,4.66589,8.08754,1.22901,0.30078,0.86784,,,15.79000,-3.54307,1,up|high|pos
2025-10-29,50453.64062,51412.96875,50365.62109,51307.64844,129700000,0.02167,0.00035,71.96806,1448.66639,160.84449,0.96306,7.74905,97.31234,95.15768,37.46966,7.62486,4.99468,8.23989,0.22879,-0.24108,-0.63860,,,16.42000,3.98987,2,up|hot|pos
2025-10-30,51146.26953,51657.28125,50972.55859,51325.60938,230900000,0.00035,0.02115,72.02947,1506.86413,175.23378,0.93785,7.27355,90.25198,92.24986,38.45557,6.31320,5.61670,8.37411,-0.00436,-0.62937,-0.01093,,,16.92000,3.04507,3,up|hot|pos
2025-10-31,51629.80078,52411.33984,51613.03125,52411.33984,180300000,0.02115,-0.01744,75.52070,1621.89938,232.21522,1.05223,8.93657,100.00000,95.85477,39.72716,10.14917,6.32573,8.55619,-0.99048,0.65313,-0.37461,,,16.91000,-0.05910,4,up|hot|pos
2025-11-04,52294.30859,52636.87109,51497.19922,51497.19922,190100000,-0.01744,-0.02495,67.84257,1620.62062,184.74918,0.88158,6.49272,73.10712,87.78637,41.00761,4.69996,6.19286,8.71683,0.17207,0.19169,-0.91694,,,17.17000,1.53755,1,up|high|pos
2025-11-05,51291.39062,51422.42188,49073.57812,50212.26953,219700000,-0.02495,0.01337,58.79411,1498.64863,50.22175,0.65203,3.39354,42.78659,71.96457,39.16002,1.81728,5.73794,8.83794,-1.17368,0.00583,1.78787,,,19.00000,10.65812,2,up|high|pos
2025-11-06,50792.55078,51248.28125,50594.19141,50883.67969,171300000,0.01337,-0.01194,61.67081,1439.56769,-7.08735,0.73865,4.26499,52.24330,56.04567,37.44440,3.19603,5.04844,9.00595,0.36536,-0.41957,-1.19622,,,18.01000,-5.21053,3,up|high|neg
2025-11-07,50524.30859,50642.78906,49640.55859,50276.37109,146700000,-0.01194,0.01264,57.74393,1328.42761,-94.58195,0.62025,2.53936,33.75510,42.92833,34.95017,3.36083,4.12978,9.18014,-1.11782,0.33603,0.10667,,,19.50000,8.27318,4,up|high|neg
2025-11-10,50645.26953,50969.50000,50392.44141,50911.76172,129700000,0.01264,-0.00135,60.57260,1276.89970,-116.88788,0.70755,3.33157,51.58665,45.86168,32.90463,3.27003,3.01595,9.35219,0.12618,-0.73017,0.60544,,,19.08000,-2.15385,0,up|high|neg
2025-11-11,51314.03906,51513.16016,50581.17188,50842.92969,125900000,-0.00135,0.00433,60.10322,1216.48640,-141.84095,0.67578,2.76857,49.65496,44.99890,31.44083,0.65451,2.32889,9.44414,1.54010,0.56817,0.48595,,,17.60000,-7.75681,1,up|high|neg
2025-11-12,50988.53125,51072.26172,50537.50000,51063.30859,150400000,0.00433,0.00428,61.14147,1172.87103,-148.36506,0.69802,2.95444,55.83965,52.36042,30.03662,1.68089,2.41470,9.40089,0.20754,0.21389,0.30686,,,17.28000,-1.81818,2,up|high|neg
2025-11-13,51013.14844,51338.89062,50954.26953,51281.82812,135700000,0.00428,-0.01765,62.19210,1142.76515,-142.77675,0.72144,3.11801,61.97217,55.82226,28.95648,-0.05032,2.30043,9.39058,0.06295,-0.04606,-2.36698,,,17.51000,1.33102,3,up|high|neg
2025-11-14,50767.73828,50767.73828,50246.60156,50376.53125,149300000,-0.01765,-0.00104,55.49753,1033.93754,-201.28349,0.51205,1.08286,36.56598,51.45927,27.19712,-1.84913,2.12374,9.33695,-1.65569,0.41408,0.10614,,,20.00000,14.22044,4,up|high|neg
2025-11-17,50282.39062,50398.16016,49845.85938,50323.91016,126000000,-0.00104,-0.03221,55.12608,932.69328,-242.02219,0.46316,0.83617,51.25190,49.93002,25.34200,-3.98278,1.74545,9.19208,-0.05017,-0.05171,-1.07088,,,19.83000,-0.85000,0,up|high|neg
2025-11-18,49812.94922,49971.55078,48661.51953,48702.98047,137400000,-0.03221,-0.00339,45.11022,713.43695,-369.02282,0.04920,-2.45977,1.45393,29.75727,24.64113,-5.42596,0.83823,8.99057,-0.91623,-0.03103,0.30187,,,22.38000,12.85930,1,up|low|neg
